"title","body","labels","milestone"
"[K1] Implement ExecutionStep Contract Freeze","**Description:** Eliminate async side effects, hidden runtime mutations, and adapter nondeterminism by defining a strict, canonical execution contract.

**Tasks:**
- Implement the `ExecutionStep` trait (`execute(state, input) -> StepResult`).
- Enforce pure boundary conditions.
- Define and validate explicit inputs and outputs.

**Acceptance Criteria:** Adapters can only interact through the frozen step contract.","epic/K1-Execution-Determinism,type/feature","Oris 2.0 Kernel"
"[K1] Implement Runtime Effect Capture","**Description:** Intercept and record all side effects generated during execution.

**Tasks:**
- Introduce `RuntimeEffect` enum (`LLMCall`, `ToolCall`, `StateWrite`, `InterruptRaise`).
- Implement kernel-level hooks to log all instances of `RuntimeEffect` to the active thread context.

**Acceptance Criteria:** Zero uncaptured side effects leak into the execution state.","epic/K1-Execution-Determinism,type/feature","Oris 2.0 Kernel"
"[K1] Build Determinism Guard & Execution Modes","**Description:** Prevent nondeterministic operations from corrupting the state and introduce strict runtime modes.

**Tasks:**
- Implement `KernelMode` (`Normal`, `Record`, `Replay`, `Verify`).
- Add trap handlers to immediately fail execution on clock access, hardware randomness detection, or uncontrolled thread spawning.

**Acceptance Criteria:** Same run guarantees an identical event stream hash; replay mismatches are instantly detected and halted.","epic/K1-Execution-Determinism,type/feature","Oris 2.0 Kernel"
"[K2] Build Canonical Execution Log Store","**Description:** Move away from checkpoint-driven state management to an event-sourced log as the source of truth.

**Tasks:**
- Implement `ExecutionLog` struct (`thread_id`, `step_id`, `event_index`, `event`, `state_hash`).
- Refactor current checkpointing to act strictly as an optimization/snapshot layer.","epic/K2-Replay-Engine,type/feature","Oris 2.0 Kernel"
"[K2] Develop Replay Cursor Engine","**Description:** Build the core algorithm to reconstruct state from historical events without triggering live side effects.

**Tasks:**
- Implement replay loop: Load checkpoint → Replay events → Inject recorded outputs → Reconstruct state.
- Ensure live tool execution is hard-disabled during replay.","epic/K2-Replay-Engine,type/feature","Oris 2.0 Kernel"
"[K2] Implement Replay Verification API","**Description:** Create a diagnostic API to cryptographically verify the integrity of a run.

**Tasks:**
- Expose `oris kernel verify <thread_id>` CLI/API command.
- Implement validation logic for state hash equality, tool checksum matching, and interrupt consistency.","epic/K2-Replay-Engine,type/feature","Oris 2.0 Kernel"
"[K2] Enable Branch Replay (Timeline Forking)","**Description:** Allow execution timelines to fork from a specific historical checkpoint.

**Tasks:**
- Implement logic to resume replay from checkpoint N, inject an alternate decision, and fork the event stream.

**Acceptance Criteria:** Reasoning timelines can be successfully reconstructed, audited, simulated, and forked.","epic/K2-Replay-Engine,type/feature","Oris 2.0 Kernel"
"[K3] Define and Store Kernel Interrupt Object","**Description:** Standardize how interrupts are represented and persisted.

**Tasks:**
- Implement `Interrupt` struct (`id`, `thread_id`, `kind`, `payload_schema`, `created_at`).
- Ensure interrupts are flushed and stored alongside execution checkpoints.","epic/K3-Interrupt-Kernel,type/feature","Oris 2.0 Kernel"
"[K3] Implement Execution Suspension State Machine","**Description:** Handle the safe teardown of workers when an execution is paused.

**Tasks:**
- Implement kernel state transitions: `Running` → `Suspended` → `WaitingInput`.
- Ensure the worker safely exits and releases resources upon suspension.","epic/K3-Interrupt-Kernel,type/feature","Oris 2.0 Kernel"
"[K3] Enforce Replay-Based Resume Semantics","**Description:** Guarantee that resuming a suspended state does not rely on active memory.

**Tasks:**
- Implement resume logic strictly as: Replay + Inject Decision.
- Write tests to guarantee resuming N times yields identical results (idempotent resumes).","epic/K3-Interrupt-Kernel,type/feature","Oris 2.0 Kernel"
"[K3] Build Unified Interrupt Routing Layer","**Description:** Create a single resolver for all external interrupt sources.

**Tasks:**
- Implement `InterruptResolver` trait (`async fn resolve(interrupt) -> Value`).
- Map inputs from UI, agents, policy engines, and APIs through the resolver.

**Acceptance Criteria:** A process can be suspended, memory completely cleared, and successfully resumed days later.","epic/K3-Interrupt-Kernel,type/feature","Oris 2.0 Kernel"
"[K4] Define and Enforce Plugin Categories","**Description:** Standardize the types of plugins the kernel will recognize and load.

**Tasks:**
- Implement interfaces for `NodePlugin`, `ToolPlugin`, `MemoryPlugin`, `LLMAdapter`, and `SchedulerPlugin`.","epic/K4-Plugin-Runtime,type/feature","Oris 2.0 Kernel"
